evaluation_policy,split_strategy,task_family,folds_combined,seeds,ensemble_seed_count,n,r2,rmse,mae,huber_loss,task_count,tasks,source_result
chemical_holdout_f100_5seed,fixed_chemical_holdout,ECx,fixed_test,42;1042;2042;3042;4042,5,510,0.6295468121632488,1.048742581614696,0.791822550597379,0.4389031536988447,6,ECx_GeneticDamage;ECx_Growth;ECx_Mortality;ECx_Physiology;ECx_Population;ECx_Reproduction,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,LOEC,fixed_test,42;1042;2042;3042;4042,5,1027,0.5484471250008038,1.2720864486497776,0.9590907516525592,0.5810586165797266,12,LOEC_Accumulation;LOEC_Behavior;LOEC_Biochemical;LOEC_Development;LOEC_GeneticDamage;LOEC_Growth;LOEC_Injury;LOEC_Morphology;LOEC_Mortality;LOEC_Physiology;LOEC_Population;LOEC_Reproduction,v1.2.12_anchor
chemical_holdout_f100_5seed,fixed_chemical_holdout,NOEC,fixed_test,42;1042;2042;3042;4042,5,1057,0.4876690084633975,1.2850461003673832,0.962805144680462,0.5887811922282004,12,NOEC_Accumulation;NOEC_Behavior;NOEC_Biochemical;NOEC_Development;NOEC_GeneticDamage;NOEC_Growth;NOEC_Injury;NOEC_Morphology;NOEC_Mortality;NOEC_Physiology;NOEC_Population;NOEC_Reproduction,v1.2.12_anchor
random_5fold_5seed,random_5fold,ECx,fold1;fold2;fold3;fold4;fold5,42;1042;2042;3042;4042,5,2805,0.8236956795548792,0.7362527705281079,0.4953935288270448,0.214175469263741,6,ECx_GeneticDamage;ECx_Growth;ECx_Mortality;ECx_Physiology;ECx_Population;ECx_Reproduction,v1.2.16_random_split_5seed
random_5fold_5seed,random_5fold,LOEC,fold1;fold2;fold3;fold4;fold5,42;1042;2042;3042;4042,5,6279,0.7768677491639773,0.8946527842867984,0.6252773413613004,0.3088950961526838,12,LOEC_Accumulation;LOEC_Behavior;LOEC_Biochemical;LOEC_Development;LOEC_GeneticDamage;LOEC_Growth;LOEC_Injury;LOEC_Morphology;LOEC_Mortality;LOEC_Physiology;LOEC_Population;LOEC_Reproduction,v1.2.16_random_split_5seed
random_5fold_5seed,random_5fold,NOEC,fold1;fold2;fold3;fold4;fold5,42;1042;2042;3042;4042,5,6546,0.7842632542678774,0.8542662593597066,0.6060629496238323,0.2929753735999059,12,NOEC_Accumulation;NOEC_Behavior;NOEC_Biochemical;NOEC_Development;NOEC_GeneticDamage;NOEC_Growth;NOEC_Injury;NOEC_Morphology;NOEC_Mortality;NOEC_Physiology;NOEC_Population;NOEC_Reproduction,v1.2.16_random_split_5seed
random_8_2_5seed,random_8_2,ECx,holdout,42;1042;2042;3042;4042,5,580,0.8211168180759023,0.7353324719124027,0.4847165620663561,0.208635683028708,6,ECx_GeneticDamage;ECx_Growth;ECx_Mortality;ECx_Physiology;ECx_Population;ECx_Reproduction,v1.2.16_random_split_5seed
random_8_2_5seed,random_8_2,LOEC,holdout,42;1042;2042;3042;4042,5,1296,0.7777810664616598,0.8860192637023675,0.6201627908862228,0.3070441025846161,12,LOEC_Accumulation;LOEC_Behavior;LOEC_Biochemical;LOEC_Development;LOEC_GeneticDamage;LOEC_Growth;LOEC_Injury;LOEC_Morphology;LOEC_Mortality;LOEC_Physiology;LOEC_Population;LOEC_Reproduction,v1.2.16_random_split_5seed
random_8_2_5seed,random_8_2,NOEC,holdout,42;1042;2042;3042;4042,5,1289,0.7782138290624682,0.8661259418205753,0.6132322365990981,0.2992752293619975,12,NOEC_Accumulation;NOEC_Behavior;NOEC_Biochemical;NOEC_Development;NOEC_GeneticDamage;NOEC_Growth;NOEC_Injury;NOEC_Morphology;NOEC_Mortality;NOEC_Physiology;NOEC_Population;NOEC_Reproduction,v1.2.16_random_split_5seed
