evaluation_policy,split_strategy,split_name,folds_combined,seeds,ensemble_seed_count,task_scope,n,r2,rmse,mae,huber_loss,task_count,tasks,source_result
chemical_holdout_f100_5seed,fixed_chemical_holdout,M_v2_aquatic_to_soil_ptox_adapt_C_f100,fixed_test,42;1042;2042;3042;4042,5,ECx_LOEC_NOEC_30task,2594,0.5387573948314639,1.2368498126418173,0.9277180958670354,0.5562565643018496,30,ECx_GeneticDamage;ECx_Growth;ECx_Mortality;ECx_Physiology;ECx_Population;ECx_Reproduction;LOEC_Accumulation;LOEC_Behavior;LOEC_Biochemical;LOEC_Development;LOEC_GeneticDamage;LOEC_Growth;LOEC_Injury;LOEC_Morphology;LOEC_Mortality;LOEC_Physiology;LOEC_Population;LOEC_Reproduction;NOEC_Accumulation;NOEC_Behavior;NOEC_Biochemical;NOEC_Development;NOEC_GeneticDamage;NOEC_Growth;NOEC_Injury;NOEC_Morphology;NOEC_Mortality;NOEC_Physiology;NOEC_Population;NOEC_Reproduction,v1.2.12_anchor
random_5fold_3seed,random_5fold,M_v2_aquatic_to_soil_ptox_adapt_E_random_5fold_fold1-5_f100,fold1;fold2;fold3;fold4;fold5,42;1042;2042,3,ECx_LOEC_NOEC_30task,15630,0.7832668551750666,0.8601132010799308,0.6018516549925447,0.2908837393941106,30,ECx_GeneticDamage;ECx_Growth;ECx_Mortality;ECx_Physiology;ECx_Population;ECx_Reproduction;LOEC_Accumulation;LOEC_Behavior;LOEC_Biochemical;LOEC_Development;LOEC_GeneticDamage;LOEC_Growth;LOEC_Injury;LOEC_Morphology;LOEC_Mortality;LOEC_Physiology;LOEC_Population;LOEC_Reproduction;NOEC_Accumulation;NOEC_Behavior;NOEC_Biochemical;NOEC_Development;NOEC_GeneticDamage;NOEC_Growth;NOEC_Injury;NOEC_Morphology;NOEC_Mortality;NOEC_Physiology;NOEC_Population;NOEC_Reproduction,v1.2.16_random_split_3seed
random_8_2_3seed,random_8_2,M_v2_aquatic_to_soil_ptox_adapt_B_random_8_2_f100,holdout,42;1042;2042,3,ECx_LOEC_NOEC_30task,3165,0.7774650494658472,0.8675658961535366,0.6053347785632267,0.2954946766412888,30,ECx_GeneticDamage;ECx_Growth;ECx_Mortality;ECx_Physiology;ECx_Population;ECx_Reproduction;LOEC_Accumulation;LOEC_Behavior;LOEC_Biochemical;LOEC_Development;LOEC_GeneticDamage;LOEC_Growth;LOEC_Injury;LOEC_Morphology;LOEC_Mortality;LOEC_Physiology;LOEC_Population;LOEC_Reproduction;NOEC_Accumulation;NOEC_Behavior;NOEC_Biochemical;NOEC_Development;NOEC_GeneticDamage;NOEC_Growth;NOEC_Injury;NOEC_Morphology;NOEC_Mortality;NOEC_Physiology;NOEC_Population;NOEC_Reproduction,v1.2.16_random_split_3seed
